"Banco de México"

"Laboral"
"Salarios mínimos"

"Fecha de consulta: 11/10/2010 03:23:55"

""

"Título","Salario mínimo general (índice real, 1994=100)"
"Periodo disponible","Ene 1964 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","1994"
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SL2542"
01/10/2000,76.11630
01/11/2000,75.47101
01/12/2000,74.66270
01/01/2001,79.43089
01/02/2001,79.48349
01/03/2001,78.98307
01/04/2001,78.58665
01/05/2001,78.40674
01/06/2001,78.22172
01/07/2001,78.42549
01/08/2001,77.96358
01/09/2001,77.24452
01/10/2001,76.89698
01/11/2001,76.60840
01/12/2001,76.50245
01/01/2002,80.18098
01/02/2002,80.23256
01/03/2002,79.82424
01/04/2002,79.39057
01/05/2002,79.22998
01/06/2002,78.84555
01/07/2002,78.61986
01/08/2002,78.32206
01/09/2002,77.85378
01/10/2002,77.51214
01/11/2002,76.89028
01/12/2002,76.55702
01/01/2003,79.68324
01/02/2003,79.46251
01/03/2003,78.96406
01/04/2003,78.82948
01/05/2003,79.08467
01/06/2003,79.01939
01/07/2003,78.90503
01/08/2003,78.66904
01/09/2003,78.20349
01/10/2003,77.91779
01/11/2003,77.27639
01/12/2003,76.94561
01/01/2004,79.72395
01/02/2004,79.24990
01/03/2004,78.98227
01/04/2004,78.86325
01/05/2004,79.06157
01/06/2004,78.93505
01/07/2004,78.72870
01/08/2004,78.24569
01/09/2004,77.60403
01/10/2004,77.07026
01/11/2004,76.41839
01/12/2004,76.26087
01/01/2005,79.68209
01/02/2005,79.41749
01/03/2005,79.06114
01/04/2005,78.78057
01/05/2005,78.97899
01/06/2005,79.05487
01/07/2005,78.74668
01/08/2005,78.65275
01/09/2005,78.33879
01/10/2005,78.14698
01/11/2005,77.58855
01/12/2005,77.11488
01/01/2006,79.73192
01/02/2006,79.61011
01/03/2006,79.51035
01/04/2006,79.39394
01/05/2006,79.74896
01/06/2006,79.68015
01/07/2006,79.46225
01/08/2006,79.05881
01/09/2006,78.26868
01/10/2006,77.92799
01/11/2006,77.52125
01/12/2006,77.07540
01/01/2007,79.66072
01/02/2007,79.43868
01/03/2007,79.26712
01/04/2007,79.31448
01/05/2007,79.70331
01/06/2007,79.60771
01/07/2007,79.27101
01/08/2007,78.94937
01/09/2007,78.34108
01/10/2007,78.03698
01/11/2007,77.49030
01/12/2007,77.17124
01/01/2008,79.89535
01/02/2008,79.65854
01/03/2008,79.08535
01/04/2008,78.90579
01/05/2008,78.99113
01/06/2008,78.66559
01/07/2008,78.22962
01/08/2008,77.78044
01/09/2008,77.25399
01/10/2008,76.73112
01/11/2008,75.86874
01/12/2008,75.34691
01/01/2009,78.64744
