"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"2. Noroeste"

"Fecha de consulta: 11/10/2010 03:07:48"

""

"Título","IPC Por objeto del gasto Región Noroeste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8965"
01/05/2005,113.51700000
01/06/2005,113.45100000
01/07/2005,113.79700000
01/08/2005,113.78500000
01/09/2005,114.32100000
01/10/2005,114.79600000
01/11/2005,119.86900000
01/12/2005,120.59600000
01/01/2006,121.09200000
01/02/2006,121.32500000
01/03/2006,121.28200000
01/04/2006,121.40300000
01/05/2006,116.63700000
01/06/2006,116.61000000
01/07/2006,116.97100000
01/08/2006,117.87300000
01/09/2006,119.23800000
01/10/2006,119.72800000
01/11/2006,124.59500000
01/12/2006,125.12900000
01/01/2007,125.73900000
01/02/2007,126.03300000
01/03/2007,126.40700000
01/04/2007,126.67500000
01/05/2007,121.23500000
01/06/2007,121.42000000
01/07/2007,121.98600000
01/08/2007,122.62000000
01/09/2007,123.48300000
01/10/2007,123.96100000
01/11/2007,129.77300000
01/12/2007,130.24000000
01/01/2008,130.99900000
01/02/2008,131.21200000
01/03/2008,131.99900000
01/04/2008,132.53200000
01/05/2008,127.52300000
01/06/2008,128.02100000
01/07/2008,128.98300000
01/08/2008,129.68200000
01/09/2008,130.34600000
01/10/2008,130.84500000
01/11/2008,137.60300000
01/12/2008,138.48700000
01/01/2009,138.87800000
01/02/2009,139.17400000
01/03/2009,139.98600000
01/04/2009,141.07400000
01/05/2009,135.37600000
01/06/2009,135.80500000
01/07/2009,136.09900000
01/08/2009,136.31300000
01/09/2009,137.02100000
01/10/2009,137.06200000
01/11/2009,143.23600000
01/12/2009,143.74200000
01/01/2010,144.97800000
01/02/2010,145.63500000
01/03/2010,146.61300000
01/04/2010,146.50400000
01/05/2010,140.13500000
01/06/2010,139.97600000
01/07/2010,140.62600000
01/08/2010,141.11500000
01/09/2010,141.68700000

