"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"5. Centro sur"

"Fecha de consulta: 11/10/2010 03:11:04"

""

"Título","IPC Por objeto del gasto Región Centro Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8992"
01/09/2003,105.70300000
01/10/2003,106.13600000
01/11/2003,106.56900000
01/12/2003,107.07000000
01/01/2004,107.63600000
01/02/2004,108.29300000
01/03/2004,108.75400000
01/04/2004,108.88500000
01/05/2004,109.13200000
01/06/2004,109.28300000
01/07/2004,109.56100000
01/08/2004,110.31500000
01/09/2004,111.41300000
01/10/2004,112.26200000
01/11/2004,112.84200000
01/12/2004,113.20500000
01/01/2005,112.97600000
01/02/2005,113.53900000
01/03/2005,114.16400000
01/04/2005,114.35800000
01/05/2005,114.87200000
01/06/2005,114.66000000
01/07/2005,115.15100000
01/08/2005,115.24200000
01/09/2005,115.81400000
01/10/2005,116.26400000
01/11/2005,116.35700000
01/12/2005,117.24000000
01/01/2006,117.89800000
01/02/2006,118.19800000
01/03/2006,118.26300000
01/04/2006,118.02200000
01/05/2006,118.29800000
01/06/2006,118.42100000
01/07/2006,118.72800000
01/08/2006,119.45900000
01/09/2006,120.94700000
01/10/2006,121.78500000
01/11/2006,121.72900000
01/12/2006,122.54400000
01/01/2007,123.01100000
01/02/2007,123.19600000
01/03/2007,123.45300000
01/04/2007,123.40300000
01/05/2007,123.33200000
01/06/2007,123.55000000
01/07/2007,124.05900000
01/08/2007,124.77500000
01/09/2007,126.04800000
01/10/2007,126.22100000
01/11/2007,126.65700000
01/12/2007,127.17600000
01/01/2008,127.51300000
01/02/2008,127.86400000
01/03/2008,129.14100000
01/04/2008,129.62500000
01/05/2008,130.06000000
01/06/2008,130.55200000
01/07/2008,131.11800000
01/08/2008,131.96200000
01/09/2008,132.93800000
01/10/2008,133.90600000
01/11/2008,134.99100000
01/12/2008,136.43900000
01/01/2009,136.49900000
01/02/2009,136.43500000
01/03/2009,137.27200000
01/04/2009,137.88600000
01/05/2009,138.25900000
01/06/2009,138.41600000
01/07/2009,138.65800000
01/08/2009,139.04700000
01/09/2009,140.04800000
01/10/2009,140.32700000
01/11/2009,140.29700000
01/12/2009,140.81100000
