Nombre,Símbolo,Cierre,Máximo,Mínimo,Var., Var %,Vol.,Hora
Red Hat,RHT,173.63,174.43,173.11,+0.13,+0.07%,2.20M,14:59:59
Regency Centers,REG,64.10,64.22,63.36,+0.63,+0.99%,912.56K,14:59:59
Regeneron Pharma,REGN,364.25,365.68,355.89,+6.64,+1.86%,823.63K,14:59:59
Regions Financial,RF,17.52,17.70,17.16,-0.12,-0.68%,13.35M,14:59:59
Republic Services,RSG,73.37,73.39,72.34,+1.06,+1.47%,1.34M,14:59:59
ResMed,RMD,107.59,107.81,104.58,+2.97,+2.84%,928.61K,14:59:59
Robert Half,RHI,64.44,64.49,63.27,+1.34,+2.12%,958.78K,14:59:59
Rockwell Automation,ROK,178.97,179.69,171.88,+1.90,+1.07%,1.38M,14:59:59
Rockwell Collins,COL,132.92,133.25,131.06,+1.66,+1.26%,2.49M,14:59:59
Roper Technologies,ROP,296.03,296.67,290.71,+6.35,+2.19%,419.68K,14:59:59
Ross Stores,ROST,102.75,102.99,100.42,+1.27,+1.25%,2.29M,14:59:59
Royal Caribbean Cruises,RCL,109.03,109.29,105.45,+2.91,+2.74%,2.11M,14:59:59
S&P Global,SPGI,186.72,187.41,184.87,+3.27,+1.78%,2.21M,14:59:59
Salesforce.com,CRM,141.79,142.31,136.43,+7.84,+5.85%,5.80M,14:59:59
SBA Communications,SBAC,170.61,170.89,167.93,+4.40,+2.65%,1.04M,14:59:59
Scana,SCG,40.65,40.71,39.67,+0.60,+1.50%,673.03K,14:59:59
Schlumberger,SLB,52.32,52.94,51.70,+0.24,+0.46%,9.42M,14:59:59
Seagate,STX,45.80,45.82,44.66,+0.38,+0.84%,3.80M,14:59:59
Sealed Air,SEE,35.05,35.07,33.85,+0.98,+2.88%,2.92M,14:59:59
Sempra Energy,SRE,117.56,117.96,114.01,+4.36,+3.85%,2.58M,14:59:59
Sherwin-Williams,SHW,414.78,416.03,406.05,+9.71,+2.40%,696.38K,14:59:59
Signet Jewelers,SIG,60.27,61.92,59.69,-0.87,-1.42%,1.03M,14:59:59
Simon Property,SPG,187.27,187.38,183.74,+3.64,+1.98%,1.01M,14:59:59
Skyworks,SWKS,82.65,83.57,81.68,+0.01,+0.01%,3.13M,14:59:59
SL Green,SLG,95.38,95.46,94.18,+1.03,+1.09%,681.00K,14:59:59
Snap-On,SNA,161.01,161.99,158.18,+3.19,+2.02%,997.87K,14:59:59
Southern,SO,47.01,47.10,45.62,+1.34,+2.93%,8.83M,14:59:59
Southwest Airlines,LUV,52.88,53.31,51.95,+1.02,+1.97%,4.86M,14:59:59
Stanley Black Decker,SWK,128.69,129.07,125.51,+3.01,+2.40%,1.58M,14:59:59
Starbucks,SBUX,68.16,68.21,66.04,+2.15,+3.26%,16.47M,14:59:59
State Street,STT,73.98,74.12,72.26,+1.96,+2.72%,3.29M,14:59:59
Stericycle,SRCL,48.56,48.97,46.90,+1.76,+3.76%,1.59M,14:59:59
Stryker,SYK,169.75,169.85,167.38,+3.02,+1.81%,1.26M,14:59:59
SunTrust Banks,STI,62.83,63.16,61.71,+0.33,+0.53%,3.02M,14:59:59
Symantec,SYMC,22.81,22.93,22.13,+0.27,+1.20%,12.24M,14:59:59
Synchrony Financial,SYF,27.35,27.38,26.64,+0.48,+1.79%,7.95M,14:59:59
Synopsys,SNPS,93.22,93.44,91.13,+2.95,+3.27%,1.08M,14:59:59
Sysco,SYY,66.45,66.79,64.62,+2.00,+3.10%,3.92M,14:59:59
T Rowe,TROW,101.50,101.60,98.70,+2.37,+2.39%,1.24M,14:59:59
Tapestry,TPR,42.43,42.50,41.74,-0.02,-0.05%,3.30M,14:59:59
Target,TGT,86.76,87.66,85.76,+1.17,+1.37%,6.78M,14:59:59
TE Connectivity,TEL,80.23,80.31,78.53,+1.83,+2.33%,2.69M,14:59:59
TechnipFMC,FTI,26.75,26.96,26.17,+0.02,+0.07%,4.43M,14:59:59
Texas Instruments,TXN,97.20,97.97,96.35,+0.06,+0.06%,5.53M,14:59:59
Textron,TXT,57.20,57.23,55.76,+1.39,+2.49%,2.30M,14:59:59
The AES,AES,15.60,16.28,15.55,-0.41,-2.56%,8.26M,14:59:59
The Charles Schwab,SCHW,48.58,48.72,47.54,+0.82,+1.72%,7.72M,14:59:59
The Goodyear Tire&Rubber,GT,22.17,22.44,21.63,-0.12,-0.54%,2.64M,14:59:59
The Travelers,TRV,130.28,130.37,128.22,+1.68,+1.31%,1.45M,14:59:59
Thermo Fisher Scientific,TMO,245.53,245.89,240.00,+7.30,+3.06%,1.83M,14:59:59
Tiffany&Co,TIF,117.03,117.10,113.20,+1.82,+1.58%,948.14K,14:59:59
TJX,TJX,55.42,55.54,53.99,+0.65,+1.18%,5.86M,14:59:59
Torchmark,TMK,87.70,87.86,86.25,+1.00,+1.15%,495.60K,14:59:59
